87297	A Bill affecting state security called the General Laws Amendment Bill is passed, despite rejection by the Opposition and sever
92073	A Bill is introduced into the Lesotho parliament providing for the extradition of fugitives from the Republic of South Africa.
85641	A Bill is introduced into the Lesotho parliament providing for the extradition of fugitives from the Republic of South Africa.
84905	A Bill is tabled in Parliament banning henceforth any merger between newspapers published in South Africa, unless authorised by
86459	A Bill on Separation of Races is passed, which includes the provision that no person could be classified White if one of his pa
83134	A Bill prohibiting demonstrations near the Houses of Parliament in Cape Town is passed with the support of the opposition Unite
84989	A bill to curtail land ownership and voting rights of Asians in South Africa is adopted by the government.
71222	A Black candidate, Haile Mphushu, qualifies as mine manager for the first time in South  Africa, after the repeal of the law se
69645	A Black high school student, Sipho Malaza, dies while in Security Police custody. His death is the twenty-first in detention si
91309	A Black teachers’ association, the Progressive Teachers’ Congress (PROTECO) is secretly launched in the Transvaal to fill the v
90522	A bloodless coup under General André Kolingba ousts President David Dacko of the Central African Republic.
87318	A boat on its way from Gabon to the Cameroons founders, killing forty-three people.
83647	A Boeing 720-B of Pakistan comes down at the airport of Cairo, Egypt, killing 121 people.
70649	A Boeing 737 Cameroon airliner crashes into a swamp as it attempts to land near Douala, killing 72 passengers and crew.
85752	A Boeing 767 sets a non-stop commercial flight distance record, from Seattle, USA to Nairobi in Kenya.
83509	A bomb blast damages Melrose House in Pretoria, where the peace treaty between the two Boer Republics and Britain was signed in
86225	A bomb blast in a Johannesburg video-game arcade kills an unborn baby and injures ten people.
89374	A bomb explodes at a synagogue in central Johannesburg four hours before State President Viljoen is due to attend a ceremony th
71799	A bomb explodes in a major departmental store in the centre of Johannesburg.
79729	A bomb explodes in front of the post office in Krugersdorp, killing two security guards and injuring at least twenty people.
69998	A bomb explodes in the Carlton Centre, Johannesburg, injuring sixteen people.
84962	A bomb explodes in the elevator of the building in the centre of Cape Town, which houses the President’s Council. One man is ki
90202	A bomb explodes in the Planet Hollywood restaurant at Cape Town’s popular Victoria &amp; Alfred Waterfront killing one person a
76790	A bomb explosion damages the London office of the ANC.
74169	A bomb explosion in an administrative building in the Batho township of Bloemfontein injures seventy-six Blacks seeking registr
70404	A bomb explosion, shattering the Johannesburg office of the Department of Foreign Affairs, is the forty-second attack by ANC sa
74217	A bomb shatters a crowded bank office in Windhoek, Namibia, killing fourteen people and injuring thirty-one.
83217	A booby-trapped TV kills Tsitsi Chiliza, the wife of ANC official R. Mazimba, in Harare, Zimbabwe.
85991	A borehole on the Rand-Victoria mine near Germiston strikes the Main Reef of the Witwatersrand Gold Fields at 731 meters.
91620	A British company obtains the monopoly for the slave trade from Africa.
79485	A British missionary, Canon Farmer, accuses Gen. Smuts of having committed an atrocity against members of his flock at Modderfo
91640	A British newspaper reports heavy fighting between Angolan government forces and Unita, in which SA is allegedly taking part.
71876	A British Sports Council team begins a three-week fact-finding tour of South Africa to investigate racial discrimination in spo
82340	A British ultimatum forces Egypt to provide freedom of public meetings.
82863	A broad consensus is reached between the government and the ANC to end Black violence in townships, a day before the ANC’s 9th
91537	A building housing several union offices, inter alia, the COSATO local branch, the head office of the Chemical Workers’ Industr
76185	A bus boycott is staged in Atteridgeville, Pretoria.
83144	A bus on its way to Mount Frere in Transkei overturns near Cathcart, killing thirty-one people and injuring thirty-seven. 
74613	A bus service replaces the train commuter service between Hammanskraal, north of Pretoria, and the Pretoria city centre. Commut
71360	A C-130 Hercules with ten passengers and a crew of four, under which a SA pilot, disappears near Huambo,  Angola.
70397	A cabinet minister restates the government’s policy for the Coloured people. Any policy, or lack thereof, which can lead to int
73679	A call for a thirty-minute work stoppage, in protest against the death of Dr. Aggett, is supported by virtually all independent
81859	A campaign to reduce governmental corruption, and to oust those identified, starts in Egypt.
87923	A Canadian government report comes out against disinvestment from South Africa, which it says hurts rather than helps workers.
87444	A Cape Passive Resistance Council is formed at a mass meeting in Cape Town attended by 1 500 people. Among the first to volunte
87423	A car bomb explodes at the Ellis Park Rugby Stadium. Two spectators are killed and thirty-seven injured.
90491	A car bomb explodes in a crowded square outside Algeria’s national police headquarters, killing 10 and injuring 15.
73174	A car bomb explodes in Algiers, killing at least twenty people and injuring about sixty in the worst bombing during a three-yea
87954	A car bomb explodes in Durban, killing five and injuring twenty-seven people.
79362	A car bomb explodes outside the Krugersdorp magistrate’s court, killing three people and wounding 22.
83214	A car bomb kills exile Vernon Nkadimeng in Gaborone, Botswana.
69616	A car bomb kills four exiles, including two children, in Gaborone, Botswana.
83656	A car bomb, placed outside the SAAF headquarters in Church Street, Pretoria, claims twenty-one lives.
71778	A cargo plane crashes into a crowded market in Kinshasa, Zaire, killing 255 people by the official count. The unofficial death
87377	A clash between Bophuthatswana police and residents of Braklaagte and Leeuwfontein over incorporation into the homeland claims
71910	A clash between police and suspected guerrillas is reported near the Botswana border. Botswana denies that it is being used as
84861	A coalmine explosion in Rhodesia kills 431 workers.
89337	A coelacanth, thought extinct before rediscovered in 1938, is caught off the south-west coast of Madagascar.
82803	A combined force of British soldiers and armed Blacks attempts to surround General C.H. Muller’s commando, commanded in his abs
92771	A combined force of South African Defence Force troops and police seal off the townships of Sebokeng, Sharpeville and Boipatong
88703	A combined force of the Seventh Hussars, local troops and the newly recruited British South Africa Police attacks Mashona chief
91726	A commission of inquiry into malpractices in South African prisons is ordered by the Minister of Justice, following disturbance
71895	A commission of public safety is appointed in Cape Town after industrial upheaval breaks out. 
91457	A Commission of the South African Council of Churches publishes a report condemning apartheid as a false faith hostile to Chris
81174	A commission to monitor human rights abuses in Algeria is set up by France.
83304	A committee of inquiry appointed by the Administrators of Natal and the Cape Province, declares that East Griqualand (claimed b
86520	A committee of twelve delegates meets to draw up a concept for the establishing of the Suid-Afrikaanse Akademie vir Wetenskap e
69663	A complete skeleton of a gorgonop, one of the most dangerous predatory carnivores that had inhabited the earth, is found near B
70399	A comprehensive monetary agreement is signed between South Africa, Lesotho and Swaziland.
83842	A comprehensive policy statement on South Africa’s new multi-national sports concessions is made by Sports Minister Dr. P. Koor
86359	A Conference of Editors in Pretoria agrees to the terms for a voluntary censorship agreement with the government regarding mili
91606	A conference on the plight of children under apartheid begins in Harare.    
83309	A conference organised by Lawyers for Human rights is held, with the theme Kwa-Ndebele – The Future. A resolution asking for
69222	A conference, in which 230 delegates representing 81 churches participated, was held in Rustenburg in the northwestern Transvaa
70227	A congregation of the   Dutch Reformed Church is founded in Bloemfontein, two years after the establishment of the town.
70146	A consensus is reached following the fall-out between leaders of the African National Congress (ANC) and government over the co
73300	A consortium of Black investors takes over African Life from Southern Life at R160 million. (Beeld, 2 Feb 2004. Vandag in die o
70493	A consortium of philanthropic foundations announces an initiative to provide treatment for an estimated 2.5 million pregnant wo
12790	A consumer boycott is called in Boksburg
91091	A controversy erupts at a Johannesburg rugby match when thousands of White South Africans sing the national anthem during a mom
89789	A controversy erupts at a Johannesburg rugby match when thousands of White South Africans sing the national anthem during a mom
76711	A convoy of the British 80th Regt. is over-run at Ntombe River, northern Zululand by a force of 2 000 Zulus.   Of the sixty m
90297	A coup attempt fails in African nation of Chad. The government accuses Egypt of playing role in the attempt and breaks diplomat
85793	A coup attempt in DR Congo by renegade soldiers from the presidential guard is thwarted.
81110	A court in England convicts two Algerian illegal immigrants of raising funds for the al-Qaida terror network, and sentences bot
76729	A court in Pretoria sentences nine Blacks to terms of imprisonment from five to seven years on charges of training as guerrilla
